Job Title,Link,Rank,Reason
Renesas Electronics IC Design Engineer Intern,https://jobs.smartrecruiters.com/RenesasElectronics/744000112447847-ic-design-engineer-intern,LOW,"The candidate has no experience in analog circuit design, and their background is primarily in software development and full-stack engineering, which is unrelated to the role of an IC Design Engineer Intern at Renesas Electronics."
J.S. Held LLC Accident Reconstruction Engineer,https://jobs.smartrecruiters.com/JSHeldLLC/744000112453125-accident-reconstruction-engineer,LOW,"The candidate's background and experience are primarily in software engineering, not accident reconstruction, and the required skills and qualifications are largely unrelated to the candidate's expertise."
UX Research Intern - Summer 2026,https://boards.greenhouse.io/betterhelpcom/jobs/5134371008,LOW,"The candidate's background and experience are primarily in software engineering, whereas the job requires expertise in Human-Computer Interaction (HCI), Psychology, Cognitive Science, or related fields."
Software Engineering Intern (Summer 2026),https://jobs.ashbyhq.com/monarchmoney/b62fbd01-4082-4ddf-9a39-ec0ae1e526ee/application,ERROR,Failed to extract meaningful text.
"Software Engineer Systems Research Internship, Applied ...",https://jobs.ashbyhq.com/openai/13a9e4e4-505b-4545-8b2b-b0bcc09c2b4f/application,ERROR,Failed to extract meaningful text.
Software Engineering Intern @ Sift,https://jobs.ashbyhq.com/sift/1685904a-155a-4ccc-aaa3-3a886ffa0ecc,ERROR,Failed to extract meaningful text.
2026/27 Software Engineering Intern Program @ Airwallex,https://jobs.ashbyhq.com/airwallex/98cef827-ceb6-4caa-a2fd-e4d6e8c7d2a9,ERROR,Failed to extract meaningful text.
Employee Success (People Operations) Intern @ G2,https://jobs.ashbyhq.com/G2/cb79fab1-b7c5-45e4-8d6e-4559416e9ba7,ERROR,Failed to extract meaningful text.
Intern - Engineering EIS (Summer 2026) (ET25182),https://apply.workable.com/tmeic-corporation-americas/j/5EA3965FF2,ERROR,Failed to extract meaningful text.
Data Engineering Intern - Claritas Rx,https://apply.workable.com/claritasrx/j/0EE871182F,ERROR,Failed to extract meaningful text.
Summer 2027 Internship - STUDENTS ONLY - Perkins & Co,https://apply.workable.com/perkins-and-co/j/3E31B27709,ERROR,Failed to extract meaningful text.
Summer Internship Software Engineer - Job Listings,https://nxp.wd3.myworkdayjobs.com/en-US/careers/job/Gratkorn/Summer-Internship-Software-Engineer---Tooling--m-f-d-_R-10061762,ERROR,Failed to extract meaningful text.
Backend Software Engineer - Summer Internship,https://usertesting.wd12.myworkdayjobs.com/UserTesting/job/Remote---Ontario/Backend-Software-Engineer---Summer-Internship_R-101163,ERROR,Failed to extract meaningful text.
Millennium Space Systems Summer 2026 Internship Program,https://boeing.wd1.myworkdayjobs.com/en-US/INTERN/job/Millennium-Space-Systems-Summer-2026-Internship-Program---Flight-Software-Intern_JR2026498874,ERROR,Failed to extract meaningful text.
Summer Internship: Program Management Office (m/f/d),https://nxp.wd3.myworkdayjobs.com/en-US/careers/job/Gratkorn/Summer-Internship--Program-Management-Office--m-f-d-_R-10061814,ERROR,Failed to extract meaningful text.
Millennium Space Systems Summer 2026 Internship Program,https://boeing.wd1.myworkdayjobs.com/en-US/EXTERNAL_CAREERS/job/USA---El-Segundo-CA/Millennium-Space-Systems-Summer-2026-Internship-Program---Ground-Software-Engineering_JR2026498959-1,ERROR,Failed to extract meaningful text.
AI-Based Anomaly Detection for Logical Attack ... - Job Listings,https://nxp.wd3.myworkdayjobs.com/en-US/careers/job/Gratkorn/Summer-Internship--AI-Based-Anomaly-Detection-for-Logical-Attack-Detection--m-f-d-_R-10061825,ERROR,Failed to extract meaningful text.
Summer Internship Validation (m/f/d) - Job Listings,https://nxp.wd3.myworkdayjobs.com/zh-TW/careers/job/Gratkorn/Summer-Internship-Validation--m-f-d-_R-10061946,ERROR,Failed to extract meaningful text.
NFC RF System Validation (m/f/d) - Job Listings,https://nxp.wd3.myworkdayjobs.com/en-US/careers/job/Gratkorn/Summer-Internship--NFC-RF-System-Validation--m-f-d-_R-10061913,ERROR,Failed to extract meaningful text.
Summer Internship: RF Measurements (m/f/d) - Job Listings,https://nxp.wd3.myworkdayjobs.com/en-US/careers/job/Gratkorn/Summer-Internship--RF-Measurements--m-f-d-_R-10061894,ERROR,Failed to extract meaningful text.
"Edge AI Intern, Summer 2026 - Myworkdayjobs.com",https://rbc.wd3.myworkdayjobs.com/en-US/RBCEARLYTALENT1/job/Orlando-Florida-United-States-of-America/Edge-AI-Intern--Summer-2026_R-0000157134-1,ERROR,Failed to extract meaningful text.
AI Intern - Parexel Careers,https://parexel.wd1.myworkdayjobs.com/parexel_external_careers/job/united-kingdom-sheffield-remote/intern_r0000038395-1,ERROR,Failed to extract meaningful text.
Research and Development Engineering Intern,https://psu.wd1.myworkdayjobs.com/en-US/PSU_Staff/job/Penn-State-University-Park/Research-and-Development-Engineering-Intern_REQ_0000076214-1,ERROR,Failed to extract meaningful text.
Bioprocess Technical Operations and Quality Assurance Intern,https://mallinckrodt.wd5.myworkdayjobs.com/en-US/MallinckrodtCareers/job/Horsham-PA/Bioprocess-Technical-Operations-and-Quality-Assurance-Intern_JR000015695,ERROR,Failed to extract meaningful text.
Search for Jobs - Myworkdayjobs.com,https://smucker.wd5.myworkdayjobs.com/us_external_careers/details/senior-technologist--formulation_114899,ERROR,Failed to extract meaningful text.
Carrières à la TD - Myworkdayjobs.com,https://td.wd3.myworkdayjobs.com/fr-CA/TD_Bank_Careers/job/Toronto-Ontario/Summer-Analyst_R_1470018,ERROR,Failed to extract meaningful text.
